"gacs","agrovoc","label"
"http://id.agrisemantics.org/gacs/C27217","http://aims.fao.org/aos/agrovoc/c_9000021","Coastal area"
"http://id.agrisemantics.org/gacs/C4891","http://aims.fao.org/aos/agrovoc/c_7193","agrarian structure"
"http://id.agrisemantics.org/gacs/C2271","http://aims.fao.org/aos/agrovoc/c_2808","agricultural land"
"http://id.agrisemantics.org/gacs/C11824","http://aims.fao.org/aos/agrovoc/c_28633","agricultural law"
"http://id.agrisemantics.org/gacs/C9533","http://aims.fao.org/aos/agrovoc/c_330982","agroforestry systems"
"http://id.agrisemantics.org/gacs/C19543","http://aims.fao.org/aos/agrovoc/c_16112","agropastoral systems"
"http://id.agrisemantics.org/gacs/C1198","http://aims.fao.org/aos/agrovoc/c_550","aquaculture"
"http://id.agrisemantics.org/gacs/C14031","http://aims.fao.org/aos/agrovoc/c_330588","area"
"http://id.agrisemantics.org/gacs/C2288","http://aims.fao.org/aos/agrovoc/c_330990","assessment"
"http://id.agrisemantics.org/gacs/C18622","http://aims.fao.org/aos/agrovoc/c_15686","boundaries"
"http://id.agrisemantics.org/gacs/C22084","http://aims.fao.org/aos/agrovoc/c_1177","cadastres"
"http://id.agrisemantics.org/gacs/C12994","http://aims.fao.org/aos/agrovoc/c_37836","capacity building"
"http://id.agrisemantics.org/gacs/C16303","http://aims.fao.org/aos/agrovoc/c_1782","common lands"
"http://id.agrisemantics.org/gacs/C18056","http://aims.fao.org/aos/agrovoc/c_16532","community forestry"
"http://id.agrisemantics.org/gacs/C15160","http://aims.fao.org/aos/agrovoc/c_1791","compensation"
"http://id.agrisemantics.org/gacs/C5172","http://aims.fao.org/aos/agrovoc/c_37952","conservation areas"
"http://id.agrisemantics.org/gacs/C19633","http://aims.fao.org/aos/agrovoc/c_1839","contract farming"
"http://id.agrisemantics.org/gacs/C15886","http://aims.fao.org/aos/agrovoc/c_2143","decentralization"
"http://id.agrisemantics.org/gacs/C5797","http://aims.fao.org/aos/agrovoc/c_15590","deforestation"
"http://id.agrisemantics.org/gacs/C29788","http://aims.fao.org/aos/agrovoc/c_28663","delinquent behaviour"
"http://id.agrisemantics.org/gacs/C7876","http://aims.fao.org/aos/agrovoc/c_2204","desertification"
"http://id.agrisemantics.org/gacs/C17509","http://aims.fao.org/aos/agrovoc/c_2224","development agencies"
"http://id.agrisemantics.org/gacs/C1973","http://aims.fao.org/aos/agrovoc/c_2805","farmers"
"http://id.agrisemantics.org/gacs/C9991","http://aims.fao.org/aos/agrovoc/c_2806","farmers' associations"
"http://id.agrisemantics.org/gacs/C2362","http://aims.fao.org/aos/agrovoc/c_2807","farming systems"
"http://id.agrisemantics.org/gacs/C3178","http://aims.fao.org/aos/agrovoc/c_10967","food security"
"http://id.agrisemantics.org/gacs/C19369","http://aims.fao.org/aos/agrovoc/c_1374158672853","forest conservation"
"http://id.agrisemantics.org/gacs/C4312","http://aims.fao.org/aos/agrovoc/c_3060","forest policy"
"http://id.agrisemantics.org/gacs/C87","http://aims.fao.org/aos/agrovoc/c_3055","forestry"
"http://id.agrisemantics.org/gacs/C4205","http://aims.fao.org/aos/agrovoc/c_35131","geographical information systems"
"http://id.agrisemantics.org/gacs/C1179","http://aims.fao.org/aos/agrovoc/c_25243","grazing"
"http://id.agrisemantics.org/gacs/C5869","http://aims.fao.org/aos/agrovoc/c_4172","land"
"http://id.agrisemantics.org/gacs/C24277","http://aims.fao.org/aos/agrovoc/c_1662","land clearance"
"http://id.agrisemantics.org/gacs/C13636","http://aims.fao.org/aos/agrovoc/c_4173","land consolidation"
"http://id.agrisemantics.org/gacs/C14370","http://aims.fao.org/aos/agrovoc/c_37897","land cover"
"http://id.agrisemantics.org/gacs/C18602","http://aims.fao.org/aos/agrovoc/c_34823","land degradation"
"http://id.agrisemantics.org/gacs/C12754","http://aims.fao.org/aos/agrovoc/c_28716","land diversion"
"http://id.agrisemantics.org/gacs/C1627","http://aims.fao.org/aos/agrovoc/c_25195","land economics"
"http://id.agrisemantics.org/gacs/C15964","http://aims.fao.org/aos/agrovoc/c_28717","land improvement"
"http://id.agrisemantics.org/gacs/C4044","http://aims.fao.org/aos/agrovoc/c_24866","land management"
"http://id.agrisemantics.org/gacs/C17692","http://aims.fao.org/aos/agrovoc/c_4175","land markets"
"http://id.agrisemantics.org/gacs/C1699","http://aims.fao.org/aos/agrovoc/c_195","land policies"
"http://id.agrisemantics.org/gacs/C6991","http://aims.fao.org/aos/agrovoc/c_196","land reform"
"http://id.agrisemantics.org/gacs/C6991","http://aims.fao.org/aos/agrovoc/c_4178","land reform"
"http://id.agrisemantics.org/gacs/C11068","http://aims.fao.org/aos/agrovoc/c_15992","land suitability"
"http://id.agrisemantics.org/gacs/C28807","http://aims.fao.org/aos/agrovoc/c_4180","land tax"
"http://id.agrisemantics.org/gacs/C7315","http://aims.fao.org/aos/agrovoc/c_12069","land tenure"
"http://id.agrisemantics.org/gacs/C20404","http://aims.fao.org/aos/agrovoc/c_4181","land transfers"
"http://id.agrisemantics.org/gacs/C13422","http://aims.fao.org/aos/agrovoc/c_37899","land use planning"
"http://id.agrisemantics.org/gacs/C15922","http://aims.fao.org/aos/agrovoc/c_4184","landowners"
"http://id.agrisemantics.org/gacs/C17470","http://aims.fao.org/aos/agrovoc/c_4240","leases"
"http://id.agrisemantics.org/gacs/C10596","http://aims.fao.org/aos/agrovoc/c_49983","mining"
"http://id.agrisemantics.org/gacs/C10646","http://aims.fao.org/aos/agrovoc/c_10391","natural disasters"
"http://id.agrisemantics.org/gacs/C624","http://aims.fao.org/aos/agrovoc/c_9000115","natural resources management"
"http://id.agrisemantics.org/gacs/C4831","http://aims.fao.org/aos/agrovoc/c_16141","nature reserves"
"http://id.agrisemantics.org/gacs/C1181","http://aims.fao.org/aos/agrovoc/c_3369","pastures"
"http://id.agrisemantics.org/gacs/C7824","http://aims.fao.org/aos/agrovoc/c_29225","pedigree"
"http://id.agrisemantics.org/gacs/C8890","http://aims.fao.org/aos/agrovoc/c_6192","private ownership"
"http://id.agrisemantics.org/gacs/C27413","http://aims.fao.org/aos/agrovoc/c_13609","property"
"http://id.agrisemantics.org/gacs/C22579","http://aims.fao.org/aos/agrovoc/c_37942","property rights"
"http://id.agrisemantics.org/gacs/C16744","http://aims.fao.org/aos/agrovoc/c_6350","public ownership"
"http://id.agrisemantics.org/gacs/C3729","http://aims.fao.org/aos/agrovoc/c_6448","rangelands"
"http://id.agrisemantics.org/gacs/C16939","http://aims.fao.org/aos/agrovoc/c_6604","right of access"
"http://id.agrisemantics.org/gacs/C1103","http://aims.fao.org/aos/agrovoc/c_6699","rural areas"
"http://id.agrisemantics.org/gacs/C1040","http://aims.fao.org/aos/agrovoc/c_6701","rural development"
"http://id.agrisemantics.org/gacs/C11599","http://aims.fao.org/aos/agrovoc/c_6704","rural planning"
"http://id.agrisemantics.org/gacs/C3634","http://aims.fao.org/aos/agrovoc/c_6705","rural population"
"http://id.agrisemantics.org/gacs/C9186","http://aims.fao.org/aos/agrovoc/c_6887","scrublands"
"http://id.agrisemantics.org/gacs/C14812","http://aims.fao.org/aos/agrovoc/c_3046","silvopastoral systems"
"http://id.agrisemantics.org/gacs/C27230","http://aims.fao.org/aos/agrovoc/c_14569","state forests"
"http://id.agrisemantics.org/gacs/C5701","http://aims.fao.org/aos/agrovoc/c_35332","sustainable development"
"http://id.agrisemantics.org/gacs/C28428","http://aims.fao.org/aos/agrovoc/c_36580","sustainable land management"
"http://id.agrisemantics.org/gacs/C1628","http://aims.fao.org/aos/agrovoc/c_8085","urban areas"
"http://id.agrisemantics.org/gacs/C13630","http://aims.fao.org/aos/agrovoc/c_32620","urban forestry"
"http://id.agrisemantics.org/gacs/C27574","http://aims.fao.org/aos/agrovoc/c_37948","urban planning"
"http://id.agrisemantics.org/gacs/C19621","http://aims.fao.org/aos/agrovoc/c_8086","urban population"
"http://id.agrisemantics.org/gacs/C7363","http://aims.fao.org/aos/agrovoc/c_8088","urbanization"
"http://id.agrisemantics.org/gacs/C14284","http://aims.fao.org/aos/agrovoc/c_16062","water rights"
"http://id.agrisemantics.org/gacs/C20746","http://aims.fao.org/aos/agrovoc/c_36936","zoning"
